,Unnamed: 0,Issued,Operating Name,Licence Address Line 3,Licence No.,Category,postal,lat,lng,year,area
104310,104339,15/07/91,JENS NIELSEN CUSTOM CONTRACTING LTD.,L6L,T850213129,BUILDING RENOVATOR,L6L,43.38356,-79.734917,1991,L6L
104311,104340,17/07/91,R P GENERAL CONSTRUCTION CO,L4L,T850213175,BUILDING RENOVATOR,L4L,43.792539,-79.551279,1991,L4L
104312,104341,17/07/91,STAN'S CUSTOM BUILDING,M9B,T850213190,BUILDING RENOVATOR,M9B,43.639329,-79.535418,1991,M9B
104313,104342,17/07/91,REMOD DESIGN GROUP,L6H,T850213193,BUILDING RENOVATOR,L6H,43.471933,-79.681705,1991,L6H
104314,104343,19/07/91,FOGGIA GENERAL CONTRACTORS,M4J,T850213223,BUILDING RENOVATOR,M4J,43.721377,-79.257537,1991,M4J
104315,104344,19/07/91,FOGGIA GENERAL CONTRACTORS,M4J,T850213225,BUILDING RENOVATOR,M4J,43.721377,-79.257537,1991,M4J
104316,104345,23/07/91,BRADLEY-DAVID CONTRACTORS LTD.,N2J,T850213256,BUILDING RENOVATOR,N2J,43.491509,-80.523095,1991,N2J
104317,104346,23/07/91,875786 ONTARIO LTD.,M4R,T850213269,BUILDING RENOVATOR,M4R,43.706612,-79.399671,1991,M4R
104318,104347,15/08/91,CUSTOM ALUMINUM IMPROVEMENTS,M9V,T850213572,BUILDING RENOVATOR,M9V,43.741978,-79.586254,1991,M9V
104319,104348,15/08/91,,M1E,T850213578,BUILDING RENOVATOR,M1E,43.763367,-79.161438,1991,M1E
104320,104349,09/09/91,PETER'S CONCRETE & BRICK,M1K,T850213885,BUILDING RENOVATOR,M1K,43.720406,-79.255784,1991,M1K
104321,104350,12/09/91,M M BUILDING RENOVATOR,L4T,T850213937,BUILDING RENOVATOR,L4T,43.628726,-79.664034,1991,L4T
104322,104351,23/09/91,CAN-CONSTRUCT LTD.,M1E,T850214054,BUILDING RENOVATOR,M1E,43.763367,-79.161438,1991,M1E
104323,104352,27/09/91,T & W CONTRACTORS,M1E,T850214154,BUILDING RENOVATOR,M1E,43.763367,-79.161438,1991,M1E
104324,104353,27/09/91,COHN CONSTRUCTION LTD.,L5L,T850214170,BUILDING RENOVATOR,L5L,43.530461,-79.717709,1991,L5L
104325,104354,02/10/91,THORNLEY & COMPANY,M8V,T850214221,BUILDING RENOVATOR,M8V,43.621403,-79.483788,1991,M8V
104326,104355,03/10/91,QUANTUM CONTRACTING LIMITED,L1H,T850214272,BUILDING RENOVATOR,L1H,43.882587,-78.801578,1991,L1H
104327,104356,04/10/91,COMAC RENOVATION,L4W,T850214281,BUILDING RENOVATOR,L4W,43.641258,-79.614474,1991,L4W
104328,104357,04/10/91,FIVE STAR MAINTENANCE,L3S,T850214298,BUILDING RENOVATOR,L3S,43.822307,-79.301551,1991,L3S
104329,104358,04/10/91,,L1X,T850214304,BUILDING RENOVATOR,L1X,43.834199,-79.135059,1991,L1X
104330,104359,04/10/91,TRUSTCO CONSTRUCTION AND RENOVATION LTD.,M1T,T850214321,BUILDING RENOVATOR,M1T,43.784,-79.304299,1991,M1T
104331,104360,11/10/91,LOCKSMITHS & SAFEMEN SECURITY HARDWARE LTD.,M5T,T850214465,BUILDING RENOVATOR,M5T,43.653338,-79.397234,1991,M5T
104332,104361,24/10/91,SHERIDAN CUSTOM INSTALLATIONS LIMITED,L6L,T850214622,BUILDING RENOVATOR,L6L,43.38356,-79.734917,1991,L6L
